,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),True_Species,Predicted_Species,Correct_Prediction
73,6.1,2.8,4.7,1.2,versicolor,versicolor,True
18,5.7,3.8,1.7,0.3,setosa,setosa,True
118,7.7,2.6,6.9,2.3,virginica,virginica,True
78,6.0,2.9,4.5,1.5,versicolor,versicolor,True
76,6.8,2.8,4.8,1.4,versicolor,versicolor,True
31,5.4,3.4,1.5,0.4,setosa,setosa,True
64,5.6,2.9,3.6,1.3,versicolor,versicolor,True
141,6.9,3.1,5.1,2.3,virginica,virginica,True
68,6.2,2.2,4.5,1.5,versicolor,versicolor,True
82,5.8,2.7,3.9,1.2,versicolor,versicolor,True
110,6.5,3.2,5.1,2.0,virginica,virginica,True
12,4.8,3.0,1.4,0.1,setosa,setosa,True
36,5.5,3.5,1.3,0.2,setosa,setosa,True
9,4.9,3.1,1.5,0.1,setosa,setosa,True
19,5.1,3.8,1.5,0.3,setosa,setosa,True
56,6.3,3.3,4.7,1.6,versicolor,versicolor,True
104,6.5,3.0,5.8,2.2,virginica,virginica,True
69,5.6,2.5,3.9,1.1,versicolor,versicolor,True
55,5.7,2.8,4.5,1.3,versicolor,versicolor,True
132,6.4,2.8,5.6,2.2,virginica,virginica,True
29,4.7,3.2,1.6,0.2,setosa,setosa,True
127,6.1,3.0,4.9,1.8,virginica,virginica,True
26,5.0,3.4,1.6,0.4,setosa,setosa,True
128,6.4,2.8,5.6,2.1,virginica,virginica,True
131,7.9,3.8,6.4,2.0,virginica,virginica,True
145,6.7,3.0,5.2,2.3,virginica,virginica,True
108,6.7,2.5,5.8,1.8,virginica,virginica,True
143,6.8,3.2,5.9,2.3,virginica,virginica,True
45,4.8,3.0,1.4,0.3,setosa,setosa,True
30,4.8,3.1,1.6,0.2,setosa,setosa,True
22,4.6,3.6,1.0,0.2,setosa,setosa,True
15,5.7,4.4,1.5,0.4,setosa,setosa,True
65,6.7,3.1,4.4,1.4,versicolor,versicolor,True
11,4.8,3.4,1.6,0.2,setosa,setosa,True
42,4.4,3.2,1.3,0.2,setosa,setosa,True
146,6.3,2.5,5.0,1.9,virginica,virginica,True
51,6.4,3.2,4.5,1.5,versicolor,versicolor,True
27,5.2,3.5,1.5,0.2,setosa,setosa,True
4,5.0,3.6,1.4,0.2,setosa,setosa,True
32,5.2,4.1,1.5,0.1,setosa,setosa,True
142,5.8,2.7,5.1,1.9,virginica,virginica,True
85,6.0,3.4,4.5,1.6,versicolor,versicolor,True
86,6.7,3.1,4.7,1.5,versicolor,versicolor,True
16,5.4,3.9,1.3,0.4,setosa,setosa,True
10,5.4,3.7,1.5,0.2,setosa,setosa,True
